latitude,longitude,title,description,category,image
50.89967764508515,-1.403560675519424,Holyrood Church,"Holyrood Church, a significant landmark in Southampton, boasts a history stretching back to Anglo-Saxon times, though the structure visible today was built in 1320. Its name, meaning 'Holy Cross,' hints at an earlier Saxon origin, possibly pre-dating the Norman Conquest. The original church stood slightly forward in the High Street, then known as English Street. By the early 14th century, it had fallen into disrepair and was rebuilt on its current site, on land provided by Thomas de Bynedon.<p>Throughout its existence, Holyrood played a central role in Southampton's life. It witnessed soldiers departing for Agincourt and crusaders heading to the Holy Land. In 1554, Philip II of Spain prayed here before his marriage to Queen Mary I. The church's west porch served as the town's Proclamation Place for important announcements.<p>Over the centuries, Holyrood underwent various alterations and restorations, notably in 1848-49. It became known as the 'Church of the Sailors' and was a traditional gathering spot for Sotonians to welcome the New Year.<p>Tragically, Holyrood Church was a casualty of the Southampton Blitz during World War II. On November 30, 1940, German bombs devastated the church, leaving it a ruin. However, its resilient spirit mirrored that of the city; remarkably, just a month after its destruction, a small group gathered outside its ruins to sing in the New Year.<p>In 1957, the shell of Holyrood Church was dedicated as a memorial to the sailors of the Merchant Navy, a role it continues to fulfill. Today, its ruins stand as a poignant reminder of Southampton's enduring history, its maritime heritage, and its resilience in the face of adversity. It houses several memorials, including one to the crew of the Titanic.",Walking Tour,
50.8989510966405,-1.4037076743976766,The Red Lion,"A charming traditional pub with a cozy atmosphere, The Red Lion offers a great selection of ales and hearty meals. Perfect for unwinding after a long day, it features a beer garden and hosts regular live music events.",Pubs,
50.8979520711738,-1.3970171897433592,The London Hotel,"This is Southamptons only LGBTQ+ pub. There are various themed nights throughout the week including drag acts and music bingo, The clientele is stightly older.",Pubs,
50.91880959894062,-1.3952567928194197,The Hobbit,"Emphasizing a cozy, enchanting atmosphere inspired by Tolkien's world, The Hobbit is a quirky pub that is just different enough to avoid copyright claims. There is often live music, heavy metal, rock and emo. They have dozens of different pint cocktails to drink in the large garden in the back. Remember your ID as everyone is checked and scanned.",Pubs,
50.912211189827005,-1.4053695743968246,The Social,"A trendy spot for both food and drinks, The Social is known for its creative cocktails and modern food offerings. Its vibrant interior draws in a youthful crowd, making it a lively place to socialize.",Pubs,
50.9223538226177,-1.3887140986303783,The Dolphin,"Located near the waterfront, The Dolphin is known for its relaxed ambiance and great sea views. It offers fresh seafood options along with an extensive drinks list, making it a popular dining destination.",Pubs,
50.91010887156975,-1.3993960013785953,The Edge,"Lively LGBTQ+ club with a dance floor, a stage & a patio, plus a music-free zone & a cocktail bar.",Pubs,
50.900536705229165,-1.4038166762523612,The Standing Order,"An old bank now repurposed as a Wetherspoon. If you didn't know Wetherspoons are a national chain known for their Cheap drinks and OK food. The menu includes most traditional pub meals.",Pubs,
50.89873308865658,-1.4058300967106403,Duke of Wellington,"Historic building dating back to 1220 serves real ales and traditional food, plus open mic nights.",Pubs,
50.89933295652327,-1.4039363232035273,Dark Arts Potion Bar,"Serving fancy cocktails with a fastasy/Wizzarding theme",Pubs,
50.913575093804354,-1.39882567439674,Board in the City,"This board game cafe has hundreds of games to play. The friendly staff will help by explaining the rules if you want to try something new. They have all the usual cafe fare and some basic food. This venue is run as a charitable business and booking is advised.",Cafes,
50.896962830439584,-1.4070625789644,Royal Pier Indian restaurant,"This eatery has recently changed hands and has mixed review. I can't comment on the food, but the building has some beautiful architecture",Restaurants,
50.8958941641091,-1.4050077201276485,Town Quay,"This quay is where you enbarqe for passenger services to the Isle of Wight. The trip is recommended. There is a slow car ferry and a fast passenger ferry. Said by some to be the worlds most expensive ferry for the distance",Transport,
50.8998924039237,-1.403664010787684,Ottoman Kitchen,"Award winning Turkish restaurant",Restaurants,
50.899422684651306,-1.4038658173388177,Edisons,"Is it a cafe or an estate agent, we are not sure, what do you think?",Cafes,
50.89970293130369,-1.4039615835323087,Coriander Lounge,"Highly rated Indian Restaurant",Restaurants,
50.90136918881781,-1.4038645337379425,Lidl,"City centre discount supermarket",Shopping,
50.90140843374457,-1.4038647741540586,Rocket Ronnies,"Pool hall with table tennis",Activities,
50.90333562901512,-1.409234850179477,Decathlon,"If you are off camping and forgotten something try here. They have equipment for most sports at a good price",Shopping
50.90401877634195,-1.4043043921256417,West Quay,"This is Southamptons main shopping centre (mall). There are many entrances, the marker is at the above bar entrance. There are a great variety of shops with a food court at the top floor. The two largest shops are Marks and Spencer and John Lewis",Shopping,
50.90082891784478,-1.4073663251009314,The Quays,"Sports centre with leasure pool and a flume",Activities,
50.89696543122965,-1.4048307548425125,The Platform Tavern,"Old school boozer in Southampton's dockyard serving pub lunches, sandwiches and all day breakfasts.",Pubs,
50.90176044298466,-1.401321993069433,High Score Arcade,"A huge variety of free to play arcade machines, you pay by the hour",Activities,
50.89620859630445,-1.3928304395568305,Maritimo Lounge,"Modern cain pub with food and drink",Restaurants,
50.89468272424892,-1.3930861993759787,Harbour Lights Picture House,"Cinema",Activities,
50.89773012048635,-1.3931985862430405,Solent Sky,"Museum of flight",Activities,
50.90202627555881,-1.4065853430175872,Showcase Cinema,"Cinema",Activities,
50.90782356056674,-1.4137124805077077,Central Station,"Direct Trains to London, the north and the west",Transport,
50.90832462179308,-1.4076000126259003,Seacity Museum,"Facinating look at the history of the city focusing on the Titanic crew, 699 of which were from Southampton. The city was the Titanics origin point",Activities,
50.90856358754846,-1.4064019688927654,City Art Gallery,"The city has a collection of art, and he gallery has temporary exhibits. Free",Activities,
50.908864220143364,-1.410203924005061,Mayflower Theatre,"Often famous plays and musicals make their way here",Activities,
50.902959132115065,-1.402098791516536,Cafe Thrive,"Good selection of vegan food",Cafes,
50.90789032554432,-1.4044543269176055,John Hansard Gallery,"Rotating art exhibits, Free",Activities,
50.90806082442931,-1.4039859286883516,Mettricks,"A local chain of cafes, drinks are good, service is outstanding.",Cafes,
50.90606131566658,-1.4088552979944509,National Express Coach Station,"National coach service. Particularly good for services to Heathrow",Transport,
50.90590887081129,-1.4067215494883263,ASDA,"Large supermarket in the city centre",Shopping,
50.907777441868745,-1.4049041900599153,Turtle Bay,"Caribean style food with great cocktails",Restaurants,
50.8985468173975,-1.4051957823773158,Medieval Merchants House,"Ancient Building",Historical,
50.90741380622976,-1.4045304510761782,Digital Darts at O'Neils,"Darts with digital games and scoring in a pub",Activities;Pubs,
